matchId,champion,champion_icon
KR_7769053151,Nidalee,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nidalee.png
KR_7769058763,Ekko,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ekko.png
KR_7769058763,Ryze,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ryze.png
KR_7769058763,Alistar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Alistar.png
KR_7769058763,Senna,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Senna.png
KR_7769058763,Pyke,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Pyke.png
KR_7769058763,Teemo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Teemo.png
KR_7769058763,Seraphine,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Seraphine.png
KR_7769058763,Jinx,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jinx.png
KR_7769058763,Yunara,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yunara.png
KR_7769058763,DrMundo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/DrMundo.png
KR_7769059110,Yone,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yone.png
KR_7769059110,Gnar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gnar.png
KR_7769059110,KogMaw,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KogMaw.png
KR_7769059110,Zyra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zyra.png
KR_7769059110,Gragas,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gragas.png
KR_7769059110,Morgana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Morgana.png
KR_7769059110,Rell,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rell.png
KR_7769059110,Kayn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kayn.png
KR_7769059110,Xayah,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xayah.png
KR_7769059110,Sion,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sion.png
KR_7769061190,Yunara,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yunara.png
KR_7769061190,Samira,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Samira.png
KR_7769061190,Lissandra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lissandra.png
KR_7769061190,Blitzcrank,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Blitzcrank.png
KR_7769061190,Kennen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kennen.png
KR_7769061190,Syndra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Syndra.png
KR_7769061190,MissFortune,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/MissFortune.png
KR_7769061190,Karma,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Karma.png
KR_7769061190,Camille,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Camille.png
KR_7769061190,Kassadin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kassadin.png
KR_7769076613,Kalista,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kalista.png
KR_7769076613,Galio,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Galio.png
KR_7769076613,Aatrox,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aatrox.png
KR_7769076613,Zilean,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zilean.png
KR_7769076613,Varus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Varus.png
KR_7769076613,Cassiopeia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Cassiopeia.png
KR_7769076613,Kassadin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kassadin.png
KR_7769076613,Velkoz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Velkoz.png
KR_7769076613,Fiora,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fiora.png
KR_7769076613,Vi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vi.png
KR_7769081944,Briar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Briar.png
KR_7769081944,KogMaw,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KogMaw.png
KR_7769081944,Belveth,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Belveth.png
KR_7769081944,Viego,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viego.png
KR_7769081944,Maokai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Maokai.png
KR_7769081944,Quinn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Quinn.png
KR_7769081944,Zac,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zac.png
KR_7769081944,Blitzcrank,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Blitzcrank.png
KR_7769081944,Fizz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fizz.png
KR_7769081944,Yasuo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yasuo.png
KR_7769082532,Brand,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Brand.png
KR_7769082532,Xerath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xerath.png
KR_7769082532,Chogath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Chogath.png
KR_7769082532,Darius,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Darius.png
KR_7769082532,KSante,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KSante.png
KR_7769082532,Qiyana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Qiyana.png
KR_7769082532,RekSai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/RekSai.png
KR_7769082532,Kindred,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kindred.png
KR_7769082532,Irelia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Irelia.png
KR_7769082532,Ashe,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ashe.png
KR_7769112550,Syndra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Syndra.png
KR_7769112550,Ahri,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ahri.png
KR_7769112550,Viego,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viego.png
KR_7769112550,Nautilus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nautilus.png
KR_7769112550,Ambessa,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ambessa.png
KR_7769112550,Ivern,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ivern.png
KR_7769112550,Vayne,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vayne.png
KR_7769112550,Aurora,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aurora.png
KR_7769112550,Sylas,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sylas.png
KR_7769112550,Rengar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rengar.png
KR_7769116248,Jhin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jhin.png
KR_7769116248,Sett,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sett.png
KR_7769116248,Karma,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Karma.png
KR_7769116248,Swain,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Swain.png
KR_7769116248,Jayce,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jayce.png
KR_7769116248,Naafiri,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Naafiri.png
KR_7769116248,Zac,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zac.png
KR_7769116248,Viego,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viego.png
KR_7769116248,Yone,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yone.png
KR_7769116248,Akali,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Akali.png
KR_7769119400,RekSai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/RekSai.png
KR_7769119400,Rengar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rengar.png
KR_7769119400,Jinx,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jinx.png
KR_7769119400,Seraphine,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Seraphine.png
KR_7769119400,Pyke,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Pyke.png
